displacement_all,pressure_solid_all,pressure_IF_all,pressure_cell_all,pressure_blood_all,load_all,time_all,varepsilonb_all,varepsilon_all
7.20704405262891e-23,0.0,373.2050807568876,-1866.0254037844388,-1.4318008371703652e-14,0.0,0.5,0.03999999999999999,0.4999999999999998
9.830688448980431e-23,0.0,373.2050807568876,-1866.0254037844388,-3.422540344671893e-14,0.0,1.0,0.03999999999999999,0.4999999999999998
1.6592641977089926e-22,-5.6843418860808e-14,373.2050807568875,-1866.0254037844388,-5.180759483992271e-14,0.0,1.5,0.03999999999999999,0.4999999999999998
2.0333935927515676e-22,0.0,373.2050807568876,-1866.0254037844388,-1.0999379485238683e-14,0.0,2.0,0.03999999999999999,0.4999999999999998
2.423654337635072e-22,0.0,373.2050807568876,-1866.0254037844388,-2.4491278318902838e-14,0.0,2.5,0.03999999999999999,0.4999999999999998
2.9742328039576e-22,0.0,373.2050807568876,-1866.0254037844388,-4.0295278390971797e-14,0.0,3.0,0.03999999999999999,0.4999999999999998
3.1342748607230163e-22,0.0,373.2050807568876,-1866.0254037844388,-3.0299387598856635e-14,0.0,3.5,0.03999999999999999,0.4999999999999998
3.491327360747468e-22,0.0,373.2050807568876,-1866.0254037844388,-3.3824490047040294e-14,0.0,4.0,0.03999999999999999,0.4999999999999998
3.503637483501258e-22,0.0,373.2050807568876,-1866.0254037844388,-2.3709931566859708e-14,0.0,4.5,0.03999999999999999,0.4999999999999998
3.7823422483771864e-22,0.0,373.2050807568876,-1866.0254037844388,-2.8994398039099545e-14,0.0,5.0,0.03999999999999999,0.4999999999999998
3.7831205767836854e-22,-5.6843418860808e-14,373.2050807568875,-1866.0254037844388,-2.5288095881694035e-14,0.0,5.5,0.03999999999999999,0.4999999999999998
4.0735184914631345e-22,0.0,373.2050807568876,-1866.0254037844388,-2.2609242412705007e-14,0.0,6.0,0.03999999999999999,0.4999999999999998
4.096128895054659e-22,-5.6843418860808e-14,373.2050807568875,-1866.0254037844388,-2.7056152714331175e-14,0.0,6.5,0.03999999999999999,0.4999999999999998
4.322224213306762e-22,0.0,373.2050807568876,-1866.0254037844388,-1.7738400415601547e-15,0.0,7.0,0.03999999999999999,0.4999999999999998
4.226545913394612e-22,-3.23691690735157e-14,373.2050807568875,-1866.0254037844388,-8.562380790391473e-15,0.0,7.5,0.03999999999999999,0.4999999999999998
4.391273233072924e-22,-6.315935428978663e-15,373.2050807568876,-1866.0254037844388,-3.070479337391242e-15,0.0,8.0,0.03999999999999999,0.4999999999999998
4.282975309168087e-22,-3.23691690735157e-14,373.2050807568875,-1866.0254037844388,-8.239277584114579e-15,0.0,8.5,0.03999999999999999,0.4999999999999998
4.453509784803135e-22,-6.315935428978663e-15,373.2050807568876,-1866.0254037844388,-1.7459892417590367e-15,0.0,9.0,0.03999999999999999,0.4999999999999998
4.345220735567313e-22,-2.447424978729236e-14,373.2050807568875,-1866.0254037844388,-4.731029032762514e-15,0.0,9.5,0.03999999999999999,0.4999999999999998
4.52080218407583e-22,-6.315935428978682e-15,373.2050807568875,-1866.0254037844388,-6.52587092145666e-15,0.0,10.0,0.03999999999999999,0.4999999999999998
-1.035179842327323e-08,4.779757627886058,377.9848324678934,-1861.244864387726,4.194670087044738,4.894348370484646,10.5,0.03997659650495566,0.5000240700957957
-4.510422733463222e-08,18.508483125946572,391.7135332351781,-1847.512871340144,15.498539026939131,19.098300562505255,11.0,0.03987960313315443,0.5001117681733781
-1.0866873069773856e-07,39.58472679271003,412.789721502231,-1826.429308045967,31.24137049353437,41.221474770752685,11.5,0.03966628485343288,0.5002811725958285
-2.0014618478134602e-07,65.74954032342676,438.95444198831456,-1800.2522012479296,48.70758378697128,69.09830056250526,12.0,0.039318484499482984,0.5005288962540844
-3.14566302376208e-07,94.3018862944729,467.50665558810533,-1771.6823664224498,65.36232090041989,99.99999999999999,12.5,0.03884321375720485,0.5008383227375721
-4.4407451569098703e-07,122.33705050665598,495.5416510744194,-1743.624910764739,78.92870189895466,130.90169943749476,13.0,0.03826634947859911,0.5011864066676104
-5.791313883915674e-07,147.00860835049704,520.2130107278406,-1718.9271695432617,87.46496049764352,158.7785252292473,13.5,0.03762516305884791,0.5015481017801968
-7.096198262750867e-07,165.79600550522525,539.0001903769842,-1700.1110382569427,89.48765437444013,180.90169943749476,14.0,0.03696215944358982,0.5018988443349839
-8.257866917051452e-07,176.7519500172037,549.9559108256719,-1689.1254944019088,84.12981074380036,195.10565162951536,14.5,0.036320928406729,0.5022156636304846
-9.190078081446402e-07,178.70267208121842,551.9064168577751,-1687.1462350285876,71.29556476252968,200.0,15.0,0.03574379742654711,0.5024774940949258
-9.91875365615326e-07,176.19937533118014,549.4029220315417,-1689.6233672983994,56.21854571022756,200.0,15.5,0.03525640743664601,0.5026798387905734
-1.05294039944358e-06,174.146631950923,547.3499986460752,-1691.652334013411,43.85993617517582,200.0,16.0,0.034859514407479586,0.5028351641194923
-1.105348973479504e-06,172.49111417087846,545.694312441987,-1693.2856055289265,33.90818902746693,200.0,16.5,0.03454183512049882,0.5029554048300799
-1.1510963728129999e-06,171.16405910256287,544.3670907055117,-1694.5906468854162,25.96112340839231,200.0,17.0,0.03428956855784356,0.5030488097258113
-1.191593954539381e-06,170.10080418616184,543.3036593629301,-1695.6305999195206,19.642258868245143,200.0,17.5,0.03409010085240537,0.5031210632995123
-1.227893586195875e-06,169.24599483967287,542.4486513626864,-1696.4591724636055,14.63169477301794,200.0,18.0,0.033932896204198745,0.5031762946053149
