displacement_all,pressure_solid_all,pressure_IF_all,pressure_cell_all,pressure_blood_all,load_all,time_all,varepsilonb_all,varepsilon_all
0.0,0.0,0.0,-9.79874361191722e+18,0.0,0.0,0.5,0.03999999999999999,0.49999999999999967
0.0,0.0,0.0,-9.79874361191722e+18,0.0,0.0,1.0,0.03999999999999999,0.49999999999999967
0.0,0.0,0.0,-9.79874361191722e+18,0.0,0.0,1.5,0.03999999999999999,0.49999999999999967
0.0,0.0,0.0,-9.79874361191722e+18,0.0,0.0,2.0,0.03999999999999999,0.49999999999999967
0.0,0.0,0.0,-9.79874361191722e+18,0.0,0.0,2.5,0.03999999999999999,0.49999999999999967
0.0,0.0,0.0,-9.79874361191722e+18,0.0,0.0,3.0,0.03999999999999999,0.49999999999999967
0.0,0.0,0.0,-9.79874361191722e+18,0.0,0.0,3.5,0.03999999999999999,0.49999999999999967
0.0,0.0,0.0,-9.79874361191722e+18,0.0,0.0,4.0,0.03999999999999999,0.49999999999999967
0.0,0.0,0.0,-9.79874361191722e+18,0.0,0.0,4.5,0.03999999999999999,0.49999999999999967
0.0,0.0,0.0,-9.79874361191722e+18,0.0,0.0,5.0,0.03999999999999999,0.49999999999999967
0.0,0.0,0.0,-9.79874361191722e+18,0.0,0.0,5.5,0.03999999999999999,0.49999999999999967
0.0,0.0,0.0,-9.79874361191722e+18,0.0,0.0,6.0,0.03999999999999999,0.49999999999999967
0.0,0.0,0.0,-9.79874361191722e+18,0.0,0.0,6.5,0.03999999999999999,0.49999999999999967
0.0,0.0,0.0,-9.79874361191722e+18,0.0,0.0,7.0,0.03999999999999999,0.49999999999999967
0.0,0.0,0.0,-9.79874361191722e+18,0.0,0.0,7.5,0.03999999999999999,0.49999999999999967
0.0,0.0,0.0,-9.79874361191722e+18,0.0,0.0,8.0,0.03999999999999999,0.49999999999999967
0.0,0.0,0.0,-9.79874361191722e+18,0.0,0.0,8.5,0.03999999999999999,0.49999999999999967
0.0,0.0,0.0,-9.79874361191722e+18,0.0,0.0,9.0,0.03999999999999999,0.49999999999999967
