displacement_all,LDF_v_all,LDF_q_all,LDF_baseline_v,LDF_baseline_q,load_all,time_all
-1.4703138635108783e-08,-0.001028471307515596,-4.175039522872836e-05,100.0,99.99999999999999,0.0,0.5
-3.4455524707046785e-08,-0.0010272844045376645,-4.159761258071728e-05,99.88459542145141,99.63405700191802,4.894348370484646,1.0
-9.209535747557263e-08,-0.0010225624635598716,-4.110871460543721e-05,99.42547313546373,98.46305497283146,19.098300562505255,1.5
-1.8227984062480752e-07,-0.0010153616739145763,-4.036127713732398e-05,98.72532821234577,96.67280253565474,41.221474770752685,2.0
-2.9646831521819016e-07,-0.0010061554791475087,-3.942740335232779e-05,97.83019436662806,94.43600027335282,69.09830056250526,2.5
-4.237639869975499e-07,-0.0009956490508903717,-3.839808148388151e-05,96.80863662550678,91.97058201130483,99.99999999999999,3.0
-5.519374872116265e-07,-0.000984787572823662,-3.737487998658302e-05,95.75255679252173,89.51982318209396,130.90169943749476,3.5
-6.685931467425127e-07,-0.0009746975461744403,-3.6459832286401566e-05,94.77148648210195,87.32811291164408,158.7785252292473,4.0
-7.623774724732858e-07,-0.000966551247754707,-3.5744746931470236e-05,93.97940814601188,85.61534983236362,180.90169943749476,4.5
-8.241154470794674e-07,-0.0009613775661094804,-3.5301544370155886e-05,93.47636235295768,84.55379686050246,195.10565162951536,5.0
-8.477553038808228e-07,-0.0009598689158989032,-3.517495521905509e-05,93.32967374827298,84.25059218325981,200.0,5.5
-8.508583145465733e-07,-0.0009601320484113996,-3.5205256595092206e-05,93.35525856630082,84.32316964239789,200.0,6.0
-8.534584766842657e-07,-0.0009602085344872876,-3.522603216284102e-05,93.36269543647204,84.37293101024841,200.0,6.5
-8.558989693987714e-07,-0.0009602745756977208,-3.524560732108159e-05,93.36911673475723,84.41981717296214,200.0,7.0
-8.582111726401357e-07,-0.0009603334176544839,-3.5264200579369466e-05,93.37483803746476,84.46435150176553,200.0,7.5
-8.604155730080577e-07,-0.0009603868656279354,-3.528195769650881e-05,93.38003487407661,84.50688311623783,200.0,8.0
-8.62527629080633e-07,-0.0009604361519164532,-3.529898891748793e-05,93.38482706304268,84.54767607373157,200.0,8.5
