displacement_all,LDF_v_all,LDF_q_all,LDF_baseline_v,LDF_baseline_q,load_all,time_all
2.5027048418951756e-06,9.736745525366798e-05,6.884918787674684e-05,17.459479730340774,17.459479730340853,0.0,1.0
5.171969634151271e-06,0.00020265907609584252,0.00014330160697637048,36.33988402024769,36.339884020247524,0.0,2.0
7.910918827770464e-06,0.00031426158418693134,0.0002222164972450057,56.35192729276767,56.35192729276741,0.0,3.0
1.0715816722622029e-05,0.0004324573519345168,0.00030579352612687276,77.5462432561942,77.54624325619368,0.0,4.0
1.358830676453923e-05,0.0005576767278148876,0.00039433699594783247,100.0,100.0,0.0,5.0
1.296747787985319e-05,0.0005583778376202348,0.0003948327554455475,100.12571975310756,100.12571975310695,80.41060914063179,6.0
1.0820691792122314e-05,0.0005546895404264088,0.00039222473548876315,99.46435143525116,99.46435143525089,320.0055084454708,7.0
7.276351623681257e-06,0.0005481870836161397,0.000387626804183851,98.29836108888199,98.29836108888216,713.9072366993043,8.0
2.4136605880882634e-06,0.0005390076619913725,0.00038113597290560667,96.65234984851081,96.65234984851074,1254.0970906336686,9.0
-3.661516966032868e-06,0.0005273338415099503,0.0003728813352808371,94.5590545935406,94.55905459354015,1929.5783626013597,10.0
-1.0817212925488007e-05,0.0005134103939216428,0.0003630359710736502,92.06236665698944,92.06236665698921,2726.600201832248,11.0
-1.889880576392583e-05,0.0004975431183649069,0.0003518161129285281,89.2171205196963,89.21712051969644,3628.9375421007785,12.0
-2.773303726571268e-05,0.0004800945443772292,0.000339478107939804,86.08832329409833,86.08832329409796,4618.221397285097,13.0
-3.7132358456785884e-05,0.00046147615694348295,0.0003263129199306456,82.74976055602289,82.74976055602303,5674.312800952705,14.0
-4.689943221652539e-05,0.0004421366874712558,0.0003126378499222816,79.28189673678054,79.28189673678018,6775.712777641048,15.0
-5.683163788983129e-05,0.0004225466403581522,0.00029878559476484423,75.76910049909958,75.76910049909979,7899.999999999997,16.0
-6.672544749291189e-05,0.00040318008729749876,0.00028509137376744545,72.29638017660444,72.29638017660425,9024.287222358951,17.0
-7.638057324306795e-05,0.00038449552598757484,0.0002718793937617039,68.94595144648072,68.94595144648089,10125.687199047296,18.0
-8.560381856063885e-05,0.00036691800954498046,0.0002594502126887267,65.7940328589027,65.7940328589027,11181.778602714901,19.0
-9.421259495603757e-05,0.0003508246745957171,0.00024807050641419587,62.90825080155901,62.90825080155897,12171.062457899217,20.0
-0.00010203809127650833,0.00033653524146195,0.00023796635134599732,60.34593603727674,60.34593603727668,13073.399798167751,21.0
-0.0001089280969628414,0.0003243081746407397,0.0002293205094826975,58.153435218904974,58.153435218904676,13870.42163739864,22.0
-0.0001147494864830871,0.00031434220504064576,0.00022227350479737175,56.36638384971067,56.366383849710296,14545.90290936633,23.0
-0.00011939036916072955,0.00030678206348183553,0.00021692767743440895,55.010734387981714,55.01073438798187,15086.092763300694,24.0
-0.00012276189996939682,0.0003017267281908453,0.00021335301556897704,54.10423514947156,54.10423514947147,15479.99449155453,25.0
-0.00012479973617289663,0.0002992383116356764,0.00021159343934840007,53.65802385338269,53.65802385338254,15719.58939085937,26.0
-0.00012546511563324506,0.00029934986647417813,0.00021167232053117887,53.6780273487659,53.67802734876577,15800.0,27.0
-0.00012545091324118738,0.00030088802571536443,0.0002127599633611665,53.95384291797805,53.95384291797792,15800.0,28.0
-0.00012544778740085572,0.00030251862601214636,0.00021391297188842704,54.246234587820716,54.246234587820915,15800.0,29.0
-0.00012544285917754996,0.0003041089912574703,0.0002150375299379576,54.5314114951583,54.53141149515814,15800.0,30.0
-0.0001254381337664291,0.0003056756788190361,0.00021614534533674165,54.81234263024519,54.8123426302451,15800.0,31.0
-0.00012543354802706483,0.00030721849325051275,0.00021723627988335105,55.08899294655332,55.088992946553155,15800.0,32.0
-0.0001254290847462795,0.00030873778598585573,0.00021831058207912014,55.36142546158688,55.36142546158688,15800.0,33.0
-0.0001254247300941175,0.00031023405230499773,0.0002193686021398461,55.62972898664247,55.62972898664237,15800.0,34.0
-0.0001254204713819078,0.0003117078690229503,0.00022041074793533632,55.89400695350821,55.89400695350807,15800.0,35.0
-0.00012541629705559008,0.000313159862393945,0.0002214374622942047,56.154371659183475,56.15437165918337,15800.0,36.0
-0.0001254121966157825,0.00031459068523094665,0.00022244920682492567,56.41094016305631,56.41094016305634,15800.0,37.0
-0.00012540816053892328,0.0003160010003219292,0.000223446450189368,56.66383131318705,56.66383131318678,15800.0,38.0
-0.00012540418020587967,0.0003173914685041791,0.00022442965967006134,56.91316360784782,56.91316360784762,15800.0,39.0
-0.0001254002478378,0.00031876274016273936,0.0002253992951586778,57.15905367106298,57.15905367106267,15800.0,40.0
-0.00012539635643866027,0.00032011544925790675,0.0002263558049328438,57.40161518164773,57.40161518164752,15800.0,41.0
-0.0001253924997436871,0.0003214502092286074,0.00022729962275938297,57.64095813862041,57.640958138620306,15800.0,42.0
-0.00012538867217269176,0.0003227676102923853,0.00022823116598512226,57.877188377049,57.877188377048796,15800.0,43.0
-0.00012538486878733453,0.00032406821778883585,0.0002291508343655248,58.110407271003325,58.11040727100318,15800.0,44.0
-0.0001253810852513899,0.00032535257130521207,0.00023005900944639453,58.3407115767628,58.34071157676249,15800.0,45.0
-0.00012537731779319595,0.0003266211843900509,0.00023095605436138658,58.568193381465235,58.568193381465065,15800.0,46.0
-0.00012537356316961592,0.00032787454470961956,0.00023184231394262505,58.79294013116011,58.79294013116027,15800.0,47.0
