displacement_all,LDF_v_all,LDF_q_all,LDF_baseline_v,LDF_baseline_q,load_all,time_all
9.454653318419117e-10,-0.00012509426215494708,-5.006659431961064e-06,12.392844561782761,12.342545758703414,0.0,0.5
1.888444283633434e-09,-0.00025053453541771137,-1.0032971805194752e-05,24.81996776914015,24.733540454317136,0.0,1.0
2.828795598328983e-09,-0.000376270880210129,-1.5076977221247688e-05,37.276422205468045,37.168152494704344,0.0,1.5
3.767099860718358e-09,-0.0005023037006363131,-2.0138729080065095e-05,49.762247904572746,49.6465135227851,0.0,2.0
4.703757117343948e-09,-0.0006286333855853131,-2.521827993640592e-05,62.27748339293387,62.16875309790453,0.0,2.5
5.639065551855194e-09,-0.0007552602990778304,-3.0315681196660037e-05,74.8221647333723,74.7349979484187,0.0,3.0
6.5732590927249285e-09,-0.0008821847857948922,-3.5430983388969124e-05,87.39632607276515,87.34537263760362,0.0,3.5
7.506527090902938e-09,-0.0010094071746910684,-4.056423634022657e-05,100.0,100.0,0.0,4.0
-1.758510481229642e-07,-0.0009980987553218378,-3.966341498357644e-05,98.8796969495792,97.77927199443711,48.94348370484647,4.5
-7.105702547823698e-07,-0.000965941468158482,-3.714157596011368e-05,95.69393723143595,91.56236949364502,190.98300562505256,5.0
-1.555877045387524e-06,-0.000915435673861362,-3.341216887412476e-05,90.69042669936772,82.36853910889657,412.21474770752684,5.5
-2.6469946670233583e-06,-0.0008497041459374323,-2.9031829344548e-05,84.17853243389976,71.57001330198305,690.9830056250526,6.0
-3.896735491880868e-06,-0.0007761839239683797,-2.467433233089791e-05,76.8950274408276,60.82779945355208,999.9999999999999,6.5
-5.198167731397889e-06,-0.0007050813818969695,-2.0910250699282268e-05,69.8510372796549,51.54848848601663,1309.0169943749474,7.0
-6.4292793101934e-06,-0.0006454959447292058,-1.8047403052994285e-05,63.94802423776723,44.490922746885566,1587.785252292473,7.5
-7.46227132078146e-06,-0.000602942717235827,-1.615086446739387e-05,59.732358987874164,39.8155269876915,1809.0169943749474,8.0
-8.17916098005139e-06,-0.0005796264592360721,-1.5165646484506188e-05,57.422462784997364,37.38674224582107,1951.0565162951536,8.5
-8.491369211264396e-06,-0.0005759554286013859,-1.5025525409465216e-05,57.05878094017496,37.04131216335698,2000.0,9.0
-8.544222171040823e-06,-0.0005801139700743836,-1.5213980111193368e-05,57.47075953288414,37.50589554697479,2000.0,9.5
-8.556223875748087e-06,-0.0005821716068915768,-1.5314250060377647e-05,57.67460559904896,37.75308360776628,2000.0,10.0
-8.567711840880738e-06,-0.0005841219506857664,-1.5410302807663174e-05,57.86782235469432,37.98987531383933,2000.0,10.5
-8.580708460946669e-06,-0.0005860116982075593,-1.5503630687377527e-05,58.055035955823236,38.21994960620755,2000.0,11.0
-8.594484105960071e-06,-0.000587842252325186,-1.5594221155834477e-05,58.23638538185511,38.44327556185266,2000.0,11.5
-8.608632413136073e-06,-0.0005896118900303072,-1.5682008907263846e-05,58.411699937714374,38.6596921873083,2000.0,12.0
-8.62295141661346e-06,-0.0005913234037324232,-1.5767124541812803e-05,58.58125626196378,38.869521441420375,2000.0,12.5
-8.637306868847286e-06,-0.0005929800105314423,-1.584971900057172e-05,58.74537306641646,39.07313542805178,2000.0,13.0
-8.651613622857288e-06,-0.0005945850983748412,-1.5929950934254113e-05,58.90438598842092,39.27092525702688,2000.0,13.5
-8.66581697243186e-06,-0.0005961419879526693,-1.600797530494725e-05,59.05862400226352,39.46327294487369,2000.0,14.0
-8.679881870880441e-06,-0.0005976538169762377,-1.608393813929011e-05,59.20839795488388,39.650538480222934,2000.0,14.5
-8.693786324121241e-06,-0.0005991235029466084,-1.6157974910292596e-05,59.35399687742181,39.833055834627224,2000.0,15.0
-8.707517156643557e-06,-0.0006005537390096854,-1.623021043622368e-05,59.49568757458915,40.011132713297435,2000.0,15.5
-8.72106721291235e-06,-0.0006019470044102463,-1.6300759430314807e-05,59.6337156603304,40.185051910245726,2000.0,16.0
-8.734433464212664e-06,-0.000603305579950243,-1.636972726208725e-05,59.76830708924634,40.35507318512931,2000.0,16.5
-8.747615705993058e-06,-0.0006046315642050006,-1.6437210740362314e-05,59.89966976310126,40.521435193547404,2000.0,17.0
-8.76061565263853e-06,-0.0006059268889578146,-1.6503298852097147e-05,60.02799505989841,40.68435730843828,2000.0,17.5
-8.77343630550627e-06,-0.0006071933335142946,-1.6568073444999727e-05,60.15345925197408,40.84404130287933,2000.0,18.0
-8.786081510817017e-06,-0.000608432537938328,-1.6631609857953357e-05,60.276224817258736,41.000672904225716,2000.0,18.5
-8.798555649508162e-06,-0.0006096460152846052,-1.6693977503643432e-05,60.39644165112942,41.15442323041694,2000.0,19.0
-8.810863418397706e-06,-0.0006108351628528128,-1.6755240404605807e-05,60.51424818134074,41.30545011145703,2000.0,19.5
-8.823009674439203e-06,-0.0006120012724657461,-1.6815457682364105e-05,60.62977238625737,41.45389929524847,2000.0,20.0
-8.834999323030629e-06,-0.0006131455397939414,-1.687468400015578e-05,60.74313271862726,41.59990553901187,2000.0,20.5
-8.846837237945307e-06,-0.0006142690727904249,-1.693296996178311e-05,60.85443894119571,41.74359359254372,2000.0,21.0
-8.858528204884437e-06,-0.0006153728993313536,-1.699036247100205e-05,60.963792883648765,41.88507908419101,2000.0,21.5
-8.870076883325608e-06,-0.0006164579741696183,-1.704690505672073e-05,61.071289131493124,42.02446932253899,2000.0,22.0
-8.881487782751462e-06,-0.0006175251852958292,-1.7102638169002113e-05,61.177015656226565,42.16186402612451,2000.0,22.5
-8.89276524999414e-06,-0.0006185753597757333,-1.7157599449779398e-05,61.2810543936395,42.29735599081061,2000.0,23.0
-8.903913464754017e-06,-0.000619609269104601,-1.721182398083098e-05,61.38348177426359,42.43103170110078,2000.0,23.5
