displacement_all,pressure_solid_all,pressure_IF_all,pressure_cell_all,pressure_blood_all,load_all,time_all,varepsilonb_all,varepsilon_all
7.068999307973336e-23,0.0,373.2050807568876,-1866.0254037844388,-1.430097662926022e-14,0.0,0.5,0.03999999999999999,0.4999999999999998
9.735217104669132e-23,0.0,373.2050807568876,-1866.0254037844388,-3.423780239826681e-14,0.0,1.0,0.03999999999999999,0.4999999999999998
1.6214102338584224e-22,-5.6843418860808e-14,373.2050807568875,-1866.0254037844388,-5.179025860673385e-14,0.0,1.5,0.03999999999999999,0.4999999999999998
2.0492797787316447e-22,0.0,373.2050807568876,-1866.0254037844388,-1.125204039798421e-14,0.0,2.0,0.03999999999999999,0.4999999999999998
2.4171497205722175e-22,0.0,373.2050807568876,-1866.0254037844388,-2.436373960051546e-14,0.0,2.5,0.03999999999999999,0.4999999999999998
2.9496173703808275e-22,0.0,373.2050807568876,-1866.0254037844388,-4.1037879094655084e-14,0.0,3.0,0.03999999999999999,0.4999999999999998
3.10694539046297e-22,0.0,373.2050807568876,-1866.0254037844388,-2.6789939273172646e-14,0.0,3.5,0.03999999999999999,0.4999999999999998
3.453254396250736e-22,0.0,373.2050807568876,-1866.0254037844388,-3.110558289599007e-14,0.0,4.0,0.03999999999999999,0.4999999999999998
3.4478822396682035e-22,-1.8158314358313648e-14,373.2050807568876,-1866.0254037844388,-2.3455167109374215e-14,0.0,4.5,0.03999999999999999,0.4999999999999998
3.698956978865036e-22,-1.2631870857957339e-14,373.2050807568875,-1866.0254037844388,-2.6175930040367814e-14,0.0,5.0,0.03999999999999999,0.4999999999999998
3.6795411744824754e-22,0.0,373.2050807568876,-1866.0254037844388,-2.1744741006414334e-14,0.0,5.5,0.03999999999999999,0.4999999999999998
3.89185789583414e-22,0.0,373.2050807568876,-1866.0254037844388,-2.1522674599215494e-14,0.0,6.0,0.03999999999999999,0.4999999999999998
3.9814711635057066e-22,-1.0263395072090315e-14,373.2050807568876,-1866.0254037844388,-2.8612396617457885e-14,0.0,6.5,0.03999999999999999,0.4999999999999998
4.1314980829787794e-22,0.0,373.2050807568876,-1866.0254037844388,1.7483233581442069e-15,0.0,7.0,0.03999999999999999,0.4999999999999998
4.358478738396845e-22,-3.236916907351564e-14,373.2050807568876,-1866.0254037844388,-2.3340607772193807e-14,0.0,7.5,0.03999999999999999,0.4999999999999998
4.545604176476139e-22,0.0,373.2050807568876,-1866.0254037844388,3.953360204626045e-15,0.0,8.0,0.03999999999999999,0.4999999999999998
4.761684412807848e-22,-5.6843418860808e-14,373.2050807568875,-1866.0254037844388,-2.6000531754097716e-14,0.0,8.5,0.03999999999999999,0.4999999999999998
4.927336740921075e-22,0.0,373.2050807568876,-1866.0254037844388,5.758014040500999e-15,0.0,9.0,0.03999999999999999,0.4999999999999998
5.128115322383729e-22,-5.6843418860808e-14,373.2050807568875,-1866.0254037844388,-2.650372842642387e-14,0.0,9.5,0.03999999999999999,0.4999999999999998
5.276492931853231e-22,0.0,373.2050807568876,-1866.0254037844388,9.077461124155423e-15,0.0,10.0,0.03999999999999999,0.4999999999999998
-1.0260086833072529e-08,4.77995714598285,377.9850290725242,-1861.2442799277164,4.195288475744926,4.894348370484646,10.5,0.03997661325976565,0.5000240489862727
-4.469702158694542e-08,18.509543873053477,391.71457889792777,-1847.5098175816674,15.501906180100033,19.098300562505255,11.0,0.03987969538733591,0.5001116555262207
-1.0766583130792964e-07,39.58782022954429,412.7927726198526,-1826.4206232749439,31.251510548408575,41.221474770752685,11.5,0.03966656666979065,0.5002808412892493
-1.982554991181803e-07,65.75627700066869,438.96109068450363,-1800.2338404939253,48.73044810129012,69.09830056250526,12.0,0.039319129143449226,0.5005281698992892
-3.115228884419681e-07,94.31416178889174,467.51877830464724,-1771.6499064456075,65.40535726669003,99.99999999999999,12.5,0.038844441657387284,0.5008369990828051
-4.396757974253679e-07,122.356802728091,495.5611682212611,-1743.5741024127926,78.999850220945,130.90169943749476,13.0,0.03826839581985528,0.5011842939602359
-5.732658699134488e-07,147.03750554795798,520.2415766823677,-1718.8545130738662,87.5711871126371,158.7785252292473,13.5,0.03762822944550631,0.5015450602755774
-7.022857279991498e-07,165.83511488037976,539.0388637999966,-1700.0143395081118,89.63329493227953,180.90169943749476,14.0,0.036966360417258634,0.5018948242639177
-8.170976528268549e-07,176.80144742816168,550.0048658111313,-1689.0043458414975,84.31502779462025,195.10565162951536,14.5,0.0363262448219741,0.5022107328911987
-9.091845041280681e-07,178.7616475746454,551.9647496266398,-1687.0023633238015,71.51520850258346,200.0,15.0,0.035750046543464295,0.5024718514855769
-9.811209058654688e-07,176.2662038326278,549.4690197707068,-1689.4600178304174,56.46375653081914,200.0,15.5,0.03526329833381164,0.5026737435498401
-1.0413689877330057e-06,174.2197180688863,547.4222801090907,-1691.4729709147996,44.12154233298617,200.0,16.0,0.03486675249330095,0.5028288499878428
-1.093041035866821e-06,172.56929684224278,545.771630022151,-1693.093167453451,34.17838860267804,200.0,16.5,0.034549168758844895,0.5029490763888033
-1.1381125536018708e-06,171.2467442792127,544.4488621504771,-1694.3872861158152,26.233876392343817,200.0,17.0,0.03429679578427426,0.5030426550995575
-1.1779816773323271e-06,170.18798060511347,543.3898833267433,-1695.4176379276444,19.913169678500452,200.0,17.5,0.03409706188404499,0.5031152645279199
-1.2136908368087014e-06,169.3382072132156,542.5398806325127,-1696.237131648236,14.897748206170629,200.0,18.0,0.03393946294497023,0.5031710347952333
