displacement_all,pressure_solid_all,pressure_IF_all,pressure_cell_all,load_all,time_all,pressurel
0.0,0.0,362.13203435596427,-1086.396103067893,0.0,0.5,200.0
0.0,0.0,362.13203435596427,-1086.396103067893,0.0,1.0,200.0
-4.315880602433692e-07,194.66973698811637,556.7686106880922,-890.4305059919786,200.0,1.5,199.9679536493759
-6.446919664295252e-07,183.03140088509664,545.0576988568309,-899.2439278792017,200.0,2.0,193.70988009836992
-8.039496433808265e-07,167.4708143898314,529.3997076346271,-911.0371633589227,200.0,2.5,176.74512014886167
-9.343331904106473e-07,150.58478413221363,512.4075093306967,-923.8478728468931,200.0,3.0,157.05475879223778
-1.0451899393674198e-06,134.03941063941258,495.7576445747848,-936.4134355645026,200.0,3.5,138.27826872022558
-1.1410863768057656e-06,118.6498026413318,480.27042974783143,-948.1130043247845,200.0,4.0,121.36076344381753
-1.2247250308931235e-06,104.71459762214651,466.2464933295947,-958.7165351206274,200.0,4.5,106.3960996669204
-1.2979568171631306e-06,92.27144727584052,453.7238280490188,-968.1923421981197,200.0,5.0,93.24116497931163
-1.3621903423303072e-06,81.24203146889342,442.62370467753306,-976.5974569592419,200.0,5.5,81.7019169416776
-1.4185725559933676e-06,71.5043228884917,432.8233906141457,-984.0227654881853,200.0,6.0,71.5874443124408
-1.4680744375715438e-06,62.925958744683854,424.18973468067355,-990.5675452419408,200.0,6.5,62.724115174452564
-1.511535216306972e-06,55.37866306066175,416.59368396966227,-996.3283801434355,200.0,7.0,54.95786122352279
-1.5496878233682105e-06,48.74388271017018,409.915958781708,-1001.3947704420704,200.0,7.5,48.153101727599235
-1.5831754934622679e-06,42.91448492967688,404.0487636250564,-1005.8477595700153,200.0,8.0,42.19086414095472
-1.6125639212963988e-06,37.79475180161387,398.8957838601006,-1009.7598759650185,200.0,8.5,36.96685239142292
-1.6383509595759188e-06,33.299682611485906,394.37148534868516,-1013.1956169717864,200.0,9.0,32.38966760629711
-1.660974776508833e-06,29.354054409238934,390.4001703755304,-1016.2121285702516,200.0,9.5,28.379222746865274
-1.6808209171661021e-06,25.89143769422306,386.9149880902853,-1018.8599281990298,200.0,10.0,24.865345506835
-1.6982285023512107e-06,22.85325038455147,383.85698322758344,-1021.1836051886422,200.0,10.5,21.786551753029443
-1.7134957038812132e-06,20.187882410699313,381.17421570644524,-1023.2224725352319,200.0,11.0,19.088970092932783
-1.7268845913419595e-06,17.849900706703824,378.82096098921414,-1025.0111613269455,200.0,11.5,16.725399374395547
-1.738625423782224e-06,15.79933448440927,376.7569911199386,-1026.5801569642624,200.0,12.0,14.654482815549711
-1.7489204478957488e-06,14.001036491050213,374.9469321426135,-1027.9562797284057,200.0,12.5,12.839984371879453
-1.7579472565584465e-06,12.424114342260484,373.35969197509576,-1029.163113647874,200.0,13.0,11.250154696169567
-1.765861755810744e-06,11.041425584723427,371.96795236897515,-1030.2213880771317,200.0,13.5,9.857175602501847
-1.7728007835274563e-06,9.82913023673246,370.74771867651106,-1031.1493164297583,200.0,14.0,8.636673315384693
-1.7788844187042122e-06,8.76629488671632,369.6779214766668,-1031.9628963322905,200.0,14.5,7.567291987543814
-1.7842180163563645e-06,7.834542860919216,368.740064543832,-1032.676175195372,200.0,15.0,6.6303200241145115
-1.7888939994156057e-06,7.017745434941066,367.9179141075028,-1033.301484890857,200.0,15.5,5.809362674855495
-1.7929934356982557e-06,6.301749526387241,367.19722481530073,-1033.8496489056574,200.0,16.0,5.090055165551429
-1.796587424994683e-06,5.674137750549052,366.5654982581526,-1034.3301650307917,200.0,16.5,4.4598113490996685
-1.7997383185800056e-06,5.124017139286359,366.0117703365603,-1034.7513663455406,200.0,17.0,3.907603478282408
-1.8025007909586624e-06,4.641833211121396,365.5264241365837,-1035.1205629764702,200.0,17.5,3.423769246779305
-1.8049227814143239e-06,4.219206436581926,365.1010253419859,-1035.4441668513941,200.0,18.0,2.9998427221034802
-1.8070463209250251e-06,3.848788467165001,364.72817753503983,-1035.7278014300257,200.0,18.5,2.628406212195086
-1.8089082582036539e-06,3.524135789994082,364.40139503380345,-1035.976398175864,200.0,19.0,2.302960473694928
-1.8105408970182202e-06,3.2395987349175552,364.11499117983544,-1036.1942813371315,200.0,19.5,2.0178109908559008
-1.811972555517133e-06,2.990223998350978,363.86398022924527,-1036.3852424272566,200.0,20.0,1.7679683352473508
-1.8132280570152545e-06,2.771669060681292,363.64399121373464,-1036.5526056361718,200.0,20.5,1.5490608627874738
-1.8143291605709545e-06,2.5801270636162523,363.4511923289841,-1036.6992852612589,200.0,21.0,1.3572582205122774
-1.815294938687876e-06,2.41226088255831,363.28222457745255,-1036.8278361196703,200.0,21.5,1.1892043246340094
